"Timestamp","Borderlands 1","Borderlands 2","Borderlands Pre-Sequel ","Borderlands 3"
"2019/08/15 10:27:38 pm GMT+3","Mordecai","Salvador","Nisha","Fl4k"
"2019/08/15 10:27:42 pm GMT+3","Mordecai","Zer0","Wilhelm","Fl4k"
"2019/08/15 10:28:12 pm GMT+3","Lilith","Gaige","Wilhelm","Moze"
"2019/08/15 10:29:05 pm GMT+3","Roland","Krieg","Claptrap","Fl4k"
"2019/08/15 10:29:11 pm GMT+3","Roland","Krieg","Claptrap","Fl4k"
"2019/08/15 10:29:21 pm GMT+3","Roland","Krieg","Claptrap","Fl4k"
"2019/08/15 10:30:28 pm GMT+3","Brick","Gaige","Claptrap","Fl4k"
"2019/08/15 10:32:34 pm GMT+3","Mordecai","Gaige","Jack","Moze"
"2019/08/15 10:33:59 pm GMT+3","Lilith","Salvador","Nisha","Fl4k"
"2019/08/15 10:34:31 pm GMT+3","Roland","Krieg","","Fl4k"
"2019/08/15 10:35:38 pm GMT+3","Lilith","Maya","Nisha","Amara"
"2019/08/15 10:36:16 pm GMT+3","Mordecai","Axton","Wilhelm","Zane"
"2019/08/15 10:37:50 pm GMT+3","Lilith","Maya","Nisha","Moze"
"2019/08/15 10:38:32 pm GMT+3","Roland","Krieg","Jack","Zane"
"2019/08/15 10:38:50 pm GMT+3","Lilith","Maya","","Amara"
"2019/08/15 10:39:16 pm GMT+3","Brick","Gaige","Nisha","Moze"
"2019/08/15 10:39:26 pm GMT+3","Brick","Gaige","Nisha","Moze"
"2019/08/15 10:39:27 pm GMT+3","Lilith","Gaige","Athena","Moze"
"2019/08/15 10:40:29 pm GMT+3","Lilith","Maya","Jack","Fl4k"
"2019/08/15 10:40:43 pm GMT+3","Lilith","Maya","Aurelia","Amara"
"2019/08/15 10:41:40 pm GMT+3","Brick","Salvador","Jack","Zane"
"2019/08/15 10:43:02 pm GMT+3","Brick","Salvador","Claptrap","Fl4k"
"2019/08/15 10:43:12 pm GMT+3","Mordecai","Krieg","Jack","Fl4k"
"2019/08/15 10:43:30 pm GMT+3","Mordecai","Maya","Claptrap","Zane"
"2019/08/15 10:45:20 pm GMT+3","Lilith","Gaige","Jack","Moze"
"2019/08/15 10:45:25 pm GMT+3","Lilith","Salvador","Athena","Amara"
"2019/08/15 10:45:28 pm GMT+3","Mordecai","Gaige","Nisha","Fl4k"
"2019/08/15 10:45:34 pm GMT+3","Mordecai","Gaige","Nisha","Fl4k"
"2019/08/15 10:46:58 pm GMT+3","Mordecai","Axton","Claptrap","Moze"
"2019/08/15 10:47:14 pm GMT+3","Mordecai","Gaige","Wilhelm","Fl4k"
"2019/08/15 10:48:47 pm GMT+3","Mordecai","Maya","Athena","Moze"
"2019/08/15 10:48:52 pm GMT+3","Mordecai","Zer0","Nisha","Fl4k"
"2019/08/15 10:49:15 pm GMT+3","Roland","Zer0","Athena","Moze"
"2019/08/15 10:49:34 pm GMT+3","Brick","Krieg","Aurelia","Fl4k"
"2019/08/15 10:51:33 pm GMT+3","Lilith","Maya","","Fl4k"
"2019/08/15 10:51:55 pm GMT+3","Mordecai","Maya","Nisha","Fl4k"
"2019/08/15 10:53:16 pm GMT+3","Lilith","Maya","Aurelia","Amara"
"2019/08/15 10:53:27 pm GMT+3","Lilith","Maya","Jack","Moze"
"2019/08/15 10:53:43 pm GMT+3","Lilith","Maya","Athena","Fl4k"
"2019/08/15 10:55:19 pm GMT+3","Mordecai","Axton","Jack","Moze"
"2019/08/15 10:55:57 pm GMT+3","Mordecai","Krieg","Nisha","Zane"
"2019/08/15 10:57:02 pm GMT+3","Brick","Krieg","Wilhelm","Moze"
"2019/08/15 10:57:20 pm GMT+3","","Salvador","Athena","Fl4k"
"2019/08/15 10:58:18 pm GMT+3","Lilith","Salvador","Nisha","Zane"
"2019/08/15 11:00:37 pm GMT+3","Lilith","Maya","Aurelia","Moze"
"2019/08/15 11:00:54 pm GMT+3","Mordecai","Zer0","Jack","Zane"
"2019/08/15 11:01:24 pm GMT+3","Lilith","Salvador","Jack","Fl4k"
"2019/08/15 11:02:05 pm GMT+3","Lilith","Gaige","Nisha","Moze"
