"id","vote_mean","budget_mean","revenue_mean","popularity_mean","popularity_sum","vote_sum","name"
55085,5.8,20125000,24197953.3333333,25.7629395,154.577637,34.8,"Amber Heard"
55086,5.51666666666667,25666666.6666667,30179108,17.1949148333333,103.169489,33.1,"Cam Gigandet"
55093,1.9,0,9109322,5.886228,5.886228,1.9,"Scott Baio"
55152,6.58333333333333,7166666.66666667,26580536.8333333,7.4297255,44.578353,39.5,"Campbell Scott"
55192,7.4,5500000,15700000,19.127239,19.127239,7.4,"Verna Bloom"
55253,6.8,0,0,2.487255,2.487255,6.8,"Michelle Krusiec"
55259,0,0,0,0.194848,0.194848,0,"Paul Rodríguez"
55267,6.8,1100000,1400000,1.220072,1.220072,6.8,"Terry Kiser"
55271,4.9,0,0,5.061107,5.061107,4.9,"Steve James"
55277,2.7,0,0,0.587276,0.587276,2.7,"Courtney Thorne-Smith"
55278,5.3,3.9e+07,75850624,22.164202,22.164202,5.3,"Jackie Cooper"
55314,6.13333333333333,1e+06,14601338.6666667,1.91301433333333,5.739043,18.4,"Kimberly Elise"
55392,4.5,0,0,0.47909,0.47909,4.5,"Martha Higareda"
55422,5.45,0,5e+06,5.667681,11.335362,10.9,"Elaine Hendrix"
55463,4.8,0,14796236,9.642041,9.642041,4.8,"Jessica Stroup"
55464,4.7,0,0,3.619167,3.619167,4.7,"Kelly Blatz"
55465,6.6,4e+06,13401952,3.771652,3.771652,6.6,"Samuel Anderson"
